"name","census_count"
"fitzpatrick",40449
"donovan",40410
"mays",40408
"mahoney",40397
"valentine",40395
"raymond",40275
"medrano",40261
"hahn",40250
"mcmillan",40237
"small",40212
"bentley",40193
"felix",40165
"peck",40055
"lucero",39986
"boyle",39921
"hanna",39890
"pace",39879
"rush",39802
"hurley",39796
"harding",39787
"mcconnell",39754
"bernal",39693
"nava",39670
"ayers",39623
"everett",39593
"ventura",39580
"avery",39564
"pugh",39559
"mayer",39555
"bender",39551
"shepard",39430
"mcmahon",39411
"landry",39391
"case",39319
"sampson",39277
"moses",39216
"magana",39105
"blackburn",39097
"dunlap",39063
"gould",38924
"duffy",38835
"vaughan",38830
"herring",38733
"mckay",38681
"espinosa",38667
"rivers",38662
"farley",38528
"bernard",38512
"ashley",38499
"friedman",38374
"potts",38277
"truong",38267
"costa",38265
"correa",38232
"blevins",38229
"nixon",38147
"clements",38044
"fry",38029
"delarosa",37932
"best",37923
"benton",37912
"lugo",37903
"portillo",37890
"dougherty",37884
"crane",37870
"haley",37858
"phan",37836
"villalobos",37754
"blanchard",37695
"horne",37689
"finley",37672
"quintana",37657
"lynn",37644
"esquivel",37578
"bean",37571
"dodson",37566
"mullen",37502
"xiong",37499
"hayden",37451
"cano",37368
"levy",37228
"huber",37170
"richmond",37053
"moyer",37050
"lim",37021
"frye",36973
"sheppard",36960
"mccarty",36944
"avalos",36922
"booker",36840
"waller",36805
"parra",36765
"woodward",36764
"jaramillo",36755
"krueger",36743
"rasmussen",36636
"brandt",36613
"peralta",36585
"donaldson",36558
"stuart",36540
"faulkner",36466
"maynard",36460
"galindo",36429
"coffey",36423
"estes",36318
"sanford",36312
"burch",36269
"maddox",36250
"vo",36236
"oconnell",36194
"vu",36179
"andersen",36150
"spence",36129
"mcpherson",36125
"church",36072
"schmitt",36043
"stanton",35997
"leal",35958
"cherry",35877
"compton",35830
"dudley",35781
"sierra",35770
"pollard",35749
"alfaro",35725
"hester",35642
"proctor",35636
"lu",35628
"hinton",35606
"novak",35461
"good",35446
"madden",35438
"mccann",35408
"terrell",35408
"jarvis",35350
"dickson",35312
"reyna",35291
"cantrell",35266
"mayo",35228
"branch",35225
"hendrix",35194
"rollins",35132
"rowland",35121
"whitney",35118
"duke",35053
"odom",35020
"daugherty",34987
"travis",34985
"tang",34961
"archer",34949
"haas",34918
"galloway",34909
"bray",34906
"nieves",34896
"petty",34882
"mcgrath",34871
"kaufman",34844
"holden",34824
"krause",34722
"baird",34721
"riggs",34506
"braun",34491
"werner",34488
"quinones",34468
"saldana",34434
"mercer",34431
"hatfield",34381
"mcneil",34368
"irwin",34297
"hooper",34247
"hays",34191
"joyce",34132
"mcknight",34055
"gamble",34005
"downs",33922
"pierre",33913
"haney",33898
"forbes",33813
"saenz",33787
"davies",33753
"vera",33674
"levine",33637
"mooney",33555
"john",33543
"rosa",33521
"riddle",33507
"key",33501
"cho",33490
"kaiser",33480
"holder",33465
