"name","census_count"
"leilani",4848
"christi",19523
"elvia",3980
"gaylene",1861
"janel",9003
"jodi",75362
"adrianne",8768
"brinda",1510
"christa",24372
"daria",3866
"ilona",1406
"leatha",1695
"louvenia",781
"sharyl",2006
"ardis",1294
"dorcas",2290
"hollis",5427
"hortencia",1497
"idella",1025
"iona",1243
"leonora",1734
"ricki",3987
"stacy",167690
"abby",19634
"bettina",4680
"cara",32033
"cherrie",3043
"cristine",3119
"darnell",20208
"ivory",6502
"romona",3178
"serena",14218
"vernita",2574
"bernita",2082
"elda",1735
"kathey",1330
"sharla",5458
"sherron",2050
"trudie",1188
"abbie",5443
"carey",22415
"gary",609682
"gerri",4512
"lettie",1219
"phyliss",964
"renita",6802
"ronald",588050
"sherlyn",1217
"angelica",34938
"carmel",3188
"cherryl",1205
"esmeralda",12084
"lark",934
"marlena",6506
"marna",1444
"randa",2380
"thomasine",1036
"zandra",2568
"zoe",5714
"agatha",1415
"beatriz",7851
"easter",1075
"elayne",1147
"leonor",2225
"margarette",1025
"regena",1861
"san",1808
"verla",715
"viki",1473
"allyn",2433
"carletta",2237
"carolee",1904
"dreama",2002
"emilia",3671
"leatrice",1545
"lina",4227
"lorinda",3785
"tena",5391
"adelaide",1234
"andra",6177
"bobbi",19469
"johnny",175404
"joseph",1163011
"leota",683
"prudence",1562
"aletha",2828
"antionette",6263
"christene",1911
"dorris",996
"drusilla",1133
"elia",2562
"hellen",1208
"janene",3007
"luisa",4494
"randee",2161
"beverlee",823
"carma",1691
"charlette",2228
"earlean",556
"gena",10233
"iola",720
"isabell",1189
"jacquelyne",1623
"jacquelynn",2664
"milagros",4911
"noemi",7752
"roxana",4819
"amalia",3427
"dayle",1742
"deborrah",882
"edward",484647
"georgiann",877
"kandy",4576
"kimberley",34804
"loyce",820
"megan",219705
"nancee",855
"adelina",2014
"augusta",2046
"bunny",1051
"francie",1159
"jaunita",988
"lue",1114
"marylee",1060
"vernetta",1493
"birdie",729
"coral",2992
"debera",1150
"fredia",1057
"georgetta",1464
"imelda",3720
"johnetta",1981
"liza",11036
"marcelle",2267
"maudie",757
"philomena",964
"sharan",730
"vita",1498
"adell",1158
"carolyne",1053
"eleanore",919
"hallie",4509
"ira",18017
"lanette",4128
"linnie",1188
"magdalene",1328
"rosia",543
"selena",11969
"sheilah",1692
"dara",8843
"hedy",849
"janyce",621
"lizbeth",3197
"marylyn",857
"palma",717
"scarlett",3841
"teressa",5328
"thomasina",2151
"alvina",1651
"delaine",1486
"eugenie",916
"julianna",5713
"kathryne",2083
"rickie",14783
"teena",5110
"charity",20058
"georgann",900
"isabella",2092
"marti",3587
"myrtis",781
"paul",748174
"santa",1675
"sofia",5978
"stefanie",29953
"bertie",673
"brooke",58683
"deloise",983
"georgine",948
"herminia",1302
"hillary",17777
"madalyn",1473
"nilda",2453
"zenobia",1546
"babette",2285
"dawna",5040
"garnet",1336
"leeann",9760
"luvenia",753
"madge",781
"marci",12810
"micki",2260
"mina",2330
"monique",57386
"ona",1097
"raylene",1967
"rosalia",2566
"sherril",1091
"sheryle",893
"shirleen",1104
"tonie",2172
"arnetta",1694
"donald",586073
"donzella",249
"helaine",875
"janett",1642
"merrill",4017
"rubye",448
"ruthanne",1158
"tari",2073
"verda",688
"antonette",3292
"cherri",3680
"jeane",1109
"lindsey",91905
"loreen",2293
"nada",1375
"simone",10136
"starlene",926
"bobbye",656
"carlyn",1801
"dominga",930
"lyla",1089
"octavia",6676
"reda",772
"retta",856
"wendie",1932
"aimee",38478
"alane",1479
"arlinda",1088
"augustine",4574
"jerrilyn",751
"joanie",4259
"karren",1349
"lenda",432
"leslye",1067
"marquita",8994
"melodee",1681
"merlene",677
"mittie",533
"rozanne",778
"sabra",2669
"sharilyn",1212
"sheryll",1134
"starla",5832
"stephany",5306
"vallorie",93
"verlene",612
"wynona",858
"alanna",5816
"bernetta",1140
"cleta",651
"corina",9299
"lauri",10743
"lawana",2048
"sheridan",2249
"sherie",4432
"willia",835
"angel",81830
"cruz",5182
"danette",9706
"donella",1146
"evie",1538
"georgianne",690
"joni",26286
"jonna",4019
"joye",1491
"kattie",1480
"lita",1951
"merri",2775
"nena",2738
"rhona",990
"suzie",2507
"tamra",12099
"vada",1081
"valencia",7028
"velia",1102
"willene",584
"amparo",1328
"dalia",3857
"deidra",8143
"francina",1047
"liane",2983
"lovie",1149
"risa",2931
"rutha",502
"syble",486
"tania",14138
"trena",4494
"venus",5912
"cathi",2342
"concepcion",2273
"delfina",1326
"dortha",531
"felice",2632
"johnna",6901
"lavada",995
"linette",3166
"sharol",542
"sueann",1537
"vesta",851
"arla",826
"armida",1326
"artie",2419
"billy",165068
"clair",3215
"daniel",1115152
"dayna",9669
"dovie",988
"jacqualine",1466
"lawanna",1797
"lilia",4317
"lissa",3117
"maren",2571
"marlane",384
"meri",1760
"micheline",909
"savannah",10877
"shela",1031
"tresa",3932
"verdell",1149
"catalina",3714
"ellie",2792
"karleen",1564
"kenneth",702431
"lavina",1318
"lennie",2367
"magnolia",752
"nickie",3276
"pearlene",471
"roni",3567
"roxy",951
"royce",10705
"signe",739
"una",1037
"valli",566
"velva",709
"alpha",1077
"billye",596
"cecily",3480
"delora",1148
"glory",1621
"jennette",2016
"josette",3951
"lanita",2685
"larae",1837
"laurette",1264
"lida",965
"lisbeth",1820
"margene",442
"merrilee",1169
"ninfa",1010
"ouida",797
"paige",26465
"rafaela",963
"raye",1152
"ronni",1848
"wendi",13449
"cherilyn",1921
"dyann",702
"elois",536
"erna",649
"gemma",1378
"glennis",991
"gwenn",1005
"lenna",785
"lorretta",1340
"lu",2894
"mandy",32674
"michal",3881
"novella",1056
"nyla",1237
"oma",691
"rory",16250
